address_id,city,state,postal_code,country,created_at,updated_at
42,Matviyivka,,,Ukraine,2015-03-16 04:19:11,5/15/2015
43,Shijak,,,Albania,2012-05-16 20:12:06,5/21/2005
44,Naviraí,,79950-000,Brazil,2011-12-21 00:02:03,9/4/2018
45,Kiambu,,,Kenya,2018-06-26 14:43:34,11/8/2023
46,Coaldale,Alberta,T1M,Canada,2021-05-24 15:43:46,3/29/2020
47,Chang’an,,,China,2022-11-12 02:47:28,5/9/2009
48,Guinsadan,,2621,Philippines,2015-01-10 13:23:25,11/21/2016
49,Bayeman,,,Indonesia,2005-04-10 21:54:48,5/17/2011
50,San Vicente de Moravia,,11403,Costa Rica,2012-10-31 22:53:38,10/18/2010
51,Parelhas,,59360-000,Brazil,2012-10-09 23:00:17,2/6/2005
52,Mörrum,Blekinge,375 90,Sweden,2016-03-07 20:20:19,9/20/2009
53,Xintian,,,China,2006-10-15 08:28:29,6/12/2022
54,Singabarong,,,Indonesia,2022-08-29 23:51:42,7/11/2023
55,Sungairaya,,,Indonesia,2010-05-12 23:27:12,3/27/2023
56,Ngawen,,,Indonesia,2020-06-26 05:07:33,12/16/2012
57,Varge Mondar,Lisboa,2635-483,Portugal,2022-09-12 15:01:12,6/25/2011
58,Talisayan,,9012,Philippines,2018-01-02 09:51:54,10/6/2012
59,Tallahassee,Florida,32309,United States,2005-06-10 21:17:32,2/18/2019
60,Cihe,,,China,2004-06-01 16:12:03,1/28/2018
61,Kolirerek,,,Indonesia,2002-10-24 14:34:48,6/17/2021
62,Chinchiná,,176048,Colombia,2021-03-08 13:20:13,11/3/2017
63,Wenci,,,China,2017-05-01 22:38:33,3/18/2002
64,Bhāndāria,,8550,Bangladesh,2022-04-29 21:14:44,9/14/2014
65,Mehtar Lām,,,Afghanistan,2011-06-30 03:24:34,10/14/2020
66,Kiupo,,1173,Philippines,2004-08-19 19:41:59,6/17/2002
67,Sobreiro,Braga,4730-040,Portugal,2011-02-01 03:46:49,6/10/2007
68,São Gabriel da Cachoeira,,69750-000,Brazil,2024-06-22 17:31:37,8/17/2008
69,Le Mans,Pays de la Loire,72080 CEDEX 9,France,2018-06-26 00:04:06,11/12/2009
70,Dayr Sāmit,,,Palestinian Territory,2012-06-01 08:25:03,7/19/2017
71,Yangjiao,,,China,2017-06-06 16:23:38,6/13/2011
72,Kuma,,,Indonesia,2007-03-04 03:04:08,2/17/2017
73,San Ignacio,,,Honduras,2014-05-06 12:48:44,4/23/2003
74,Krasnokholm,,461360,Russia,2014-05-08 12:54:15,5/27/2008
75,Outeiro Seco,Vila Real,5400-715,Portugal,2022-06-14 19:41:06,2/1/2004
76,Changzhi,,,China,2002-01-05 16:26:23,1/8/2022
77,Quyangqiao,,,China,2022-05-02 14:17:30,4/28/2015
78,Savelugu,,,Ghana,2000-08-18 15:13:34,6/21/2021
79,Mueang Nonthaburi,,11120,Thailand,2010-09-06 06:40:08,6/15/2008
80,Marxog,,,China,2019-02-24 01:25:53,6/24/2002
81,Fengyi,,,China,2018-02-28 23:43:15,5/4/2002
82,Cibaregbeg,,,Indonesia,2008-04-12 02:26:57,12/2/2010
83,Västervik,Kalmar,593 93,Sweden,2004-03-01 16:21:31,8/16/2008
84,Yanda Bayo,,,Nigeria,2010-02-27 00:53:38,7/28/2016
85,Enjitsu,,,South Korea,2001-11-16 22:51:22,5/14/2011
86,Kongtian,,,China,2010-02-10 02:21:47,6/28/2010
87,Ciseuseupan,,,Indonesia,2004-01-11 15:11:45,4/17/2001
88,Kolpny,,303759,Russia,2005-10-10 05:06:32,7/13/2012
89,Lyubimets,,6522,Bulgaria,2007-09-07 09:58:43,4/9/2009
90,Tanglag,,,China,2015-05-24 02:09:56,10/25/2013
91,Bayt Qād,,,Palestinian Territory,2009-05-21 14:37:31,4/15/2017
92,Pensacola,Florida,32505,United States,2010-11-03 17:46:29,5/24/2018
93,Tyczyn,,36-020,Poland,2019-07-28 23:40:32,4/28/2004
94,Sunchales,,2322,Argentina,2012-10-07 01:27:58,5/17/2003
95,Hexi,,,China,2018-03-20 16:08:52,2/7/2016
96,La Loma,Michoacan De Ocampo,61663,Mexico,2004-07-24 06:08:51,4/30/2021
97,Tembisa,,1693,South Africa,2018-12-08 06:25:32,7/31/2015
98,Xinxu,,,China,2023-04-16 05:57:38,11/24/2019
99,Banyubang,,,Indonesia,2006-02-26 02:37:32,9/2/2010
100,São Lourenço,,37470-000,Brazil,2021-12-16 00:32:20,1/10/2012
