product_id,product_name,description,price,category,supplier_id,created_at,updated_at
71,Egg Patty Fried,"Postauricular fistula, right ear","€205,07",Arts & Entertainment,71,2023-06-29,2024-02-05
72,Bread - Italian Sesame Poly,Nondisplaced oblique fracture of shaft of unspecified ulna,"€953,21",Arts & Entertainment,72,2023-04-20,2023-02-18
73,Pork - Smoked Back Bacon,Acquired absence of other toe(s),"€918,11",vvvv,73,2024-04-25,2023-05-26
74,Pork - European Side Bacon,Insect bite (nonvenomous) of ear,"€374,43",Gifts & Special Events,74,2023-04-30,2023-05-02
75,"Apple - Delicious, Red","Toxic effect of unsp alcohol, accidental, init","€380,19",vvvv,75,2023-07-28,2023-12-12
76,Yeast Dry - Fleischman,"Disp fx of nk of 3rd MC bone, r hand, 7thD","€149,23",Arts & Entertainment,76,2024-05-30,2023-12-28
77,Tomatoes - Hot House,Tight hymenal ring,"€871,64",aaaa,77,2024-03-25,2024-06-07
78,Ecolab - Hobart Washarm End Cap,"Strain of msl/fasc/tnd posterior grp at thi lev, left thigh","€554,32",vvvv,78,2023-04-29,2023-06-01
79,Longos - Chicken Curried,"Other specified disorders of cartilage, multiple sites",,Beauty & Fitness,79,2023-06-25,2023-05-22
80,"Mushroom - Trumpet, Dry","Hydroxyapatite deposition disease, hand","€392,21",Gifts & Special Events,80,2024-04-05,2023-09-27
81,Compound - Orange,Dissection of carotid artery,"€12,68",Gifts & Special Events,81,2023-12-28,2023-08-28
82,Potatoes - Peeled,Atopic neurodermatitis,"€39,33",Beauty & Fitness,82,2024-06-24,2024-06-06
83,Muffin Mix - Chocolate Chip,"Unsp opn wnd low back and pelvis w penet retroperiton, subs","€358,54",Gifts & Special Events,83,2024-01-08,2023-08-17
84,Shrimp - Black Tiger 6 - 8,"Unspecified subluxation of right index finger, sequela","€227,68",vvvv,84,2023-09-05,2023-10-25
85,Tea - Earl Grey,"Disord of amnio fluid and membrns, unsp, second tri, fetus 5","€146,92",Attractions,85,2023-01-27,2024-03-11
86,Shrimp - Tiger 21/25,"Other injury of muscle, fascia and tendon of pelvis, sequela","€377,26",Beauty & Fitness,86,2023-02-05,2024-05-02
87,Radish,"Nondisp seg fx shaft of unsp femr, 7thQ","€336,25",Food & Drink,87,2023-07-26,2023-04-24
88,"Plate - Foam, Bread And Butter","Underdosing of iron and its compounds, subsequent encounter","€201,35",Arts & Entertainment,88,2024-06-08,2023-10-01
89,Olives - Nicoise,"Milt op involving explosion of aerial bomb, milt","€26,82",Gifts & Special Events,89,2023-03-10,2023-10-02
90,Scallops - 20/30,Nondisp fx of greater trochanter of unspecified femur,"€178,37",Attractions,90,2023-03-30,2023-11-11
91,Island Oasis - Magarita Mix,"Unsp fracture of fifth lumbar vertebra, init for clos fx","€445,27",Beauty & Fitness,91,2024-06-12,2024-06-04
92,Beans - Fava Fresh,"Person injured wh brd/alit from amblnc/fire eng, sequela","€717,13",vvvv,92,2024-01-21,2023-04-06
93,Fruit Mix - Light,Osteitis deformans [Paget's disease of bone],"€299,62",Arts & Entertainment,93,2024-04-09,2023-03-25
94,Bacon Strip Precooked,"Burn of left ear drum, sequela","€639,94",Beauty & Fitness,94,2023-01-21,2023-10-09
95,Appetizer - Sausage Rolls,Abdominal aortic ectasia,"€672,19",Food & Drink,95,2023-01-06,2023-08-08
96,Sauce Bbq Smokey,Diabetes due to underlying condition w unsp diabetic rtnop,,Attractions,96,2023-03-07,2023-06-08
97,Wiberg Cure,"Poisoning by local anesthetics, assault, initial encounter","€687,67",Food & Drink,97,2023-12-16,2023-09-21
98,"Pasta - Cannelloni, Sheets, Fresh",Mechanical lagophthalmos,"€225,32",aaaa,98,2024-01-22,2023-02-26
99,Wine - Magnotta - Cab Franc,Chronic venous hypertension w inflammation of r low extrem,"€699,33",aaaa,99,2024-02-18,2023-05-11
100,Salt - Seasoned,"Burn of third degree of left axilla, sequela","€72,31",Attractions,100,2023-10-20,2023-02-27
101,Flower - Leather Leaf Fern,"Poisoning by immunoglobulin, accidental, subs",,aaaa,101,2023-07-28,2023-11-07
102,Coffee Decaf Colombian,"Nondisp fx of olecran pro w/o intartic extn r ulna, 7thM","€22,04",Arts & Entertainment,102,2023-07-30,2023-06-24
103,Kellogs Special K Cereal,"Sprain of other ligament of right ankle, initial encounter","€994,54",Food & Drink,103,2024-06-29,2023-06-04
104,Flower - Daisies,"Sltr-haris Type III physeal fx phalanx of unsp toe, 7thD","€717,33",Beauty & Fitness,104,2023-01-15,2023-05-23
105,Chocolate Bar - Coffee Crisp,"Poisoning by propionic acid derivatives, self-harm","€477,45",vvvv,105,2023-05-23,2023-04-17
106,Tea - Honey Green Tea,"Unsp fx upper end unsp tibia, subs for clos fx w delay heal","€930,84",Beauty & Fitness,106,2024-01-12,2023-07-31
107,Cookie - Dough Variety,Unspecified fracture of calcaneus,"€621,78",vvvv,107,2023-06-22,2023-01-09
108,Chick Peas - Dried,"Corrosion of first degree of female genital region, init",,vvvv,108,2023-04-09,2023-06-01
109,"Sole - Dover, Whole, Fresh","Displ artic fx head of unsp femr, 7thN","€722,11",vvvv,109,2023-12-14,2023-09-18
110,"Star Anise, Whole","Unsp intracap fx r femr, 7thE","€571,48",vvvv,110,2023-06-12,2023-03-11
111,"Tendrils - Baby Pea, Organic",Athscl type of bypass graft(s) of the left leg w ulceration,"€68,95",aaaa,111,2023-06-06,2024-06-17
112,"Beef - Bones, Cut - Up","Corrosion of first degree of scalp, initial encounter","€574,81",aaaa,112,2023-10-20,2023-05-08
113,Flour - Fast / Rapid,Other sequelae of cerebral infarction,"€2,35",vvvv,113,2023-07-28,2023-11-22
114,"Beets - Candy Cane, Organic",Other specified disorders of brain,,Gifts & Special Events,114,2023-09-08,2024-01-11
115,Pork - European Side Bacon,"Driver of pk-up/van inj in nonclsn trnsp acc in traf, sqla","€68,94",Gifts & Special Events,115,2024-05-06,2023-07-18
116,Dc - Sakura Fu,"Ped on rolr-skt injured in clsn w 2/3-whl mv, unsp, init","€523,90",Attractions,116,2024-01-21,2023-08-09
117,Muffin Batt - Choc Chk,"Unsp fracture of unsp acetabulum, subs for fx w delay heal","€455,12",vvvv,117,2024-06-06,2024-04-05
118,Muskox - French Rack,"Traum hemor l cereb w LOC w dth d/t brain inj bf consc, subs","€661,60",Gifts & Special Events,118,2023-07-21,2024-02-01
119,Lamb - Loin Chops,Other Niemann-Pick disease,"€820,03",Beauty & Fitness,119,2024-03-17,2023-08-08
120,Pork - Hock And Feet Attached,Unsp mtrcy rider injured in collision w 2/3-whl mv in traf,"€611,31",Attractions,120,2024-02-06,2023-09-15
121,Appetizer - Cheese Bites,Facial weakness following nontraumatic intcrbl hemorrhage,"€652,48",Gifts & Special Events,121,2023-05-25,2023-10-12
122,"Chocolate - Milk, Callets","Nondisp suprcndl fx w/o intrcndl extn low end l femr, 7thD","€101,42",Food & Drink,122,2023-01-25,2023-07-26
123,Bread - Italian Sesame Poly,"Displ Maisonneuve's fx unsp leg, 7thH","€655,11",Attractions,123,2023-01-06,2023-12-09
124,Beer - True North Lager,"Unsp fracture of unsp ischium, init for clos fx","€230,99",Arts & Entertainment,124,2023-01-10,2024-04-14
125,Longos - Grilled Veg Sandwiches,Other varicella complications,"€58,34",Beauty & Fitness,125,2023-09-26,2024-06-18
126,"Cup - 3.5oz, Foam","Unsp fx first MC bone, unsp hand, subs for fx w routn heal","€658,31",Arts & Entertainment,126,2024-06-05,2023-08-11
127,Pasta - Agnolotti - Butternut,"Helicopter crash injuring occupant, initial encounter","€970,57",Arts & Entertainment,127,2023-07-05,2023-06-16
128,"Lemonade - Mandarin, 591 Ml","Pre-existing type 2 diabetes, in pregnancy, second trimester","€21,55",Food & Drink,128,2024-01-19,2023-10-29
129,Pickerel - Fillets,"Unsp mtrcy rider injured in clsn w pedl cyc nontraf, init","€666,47",Beauty & Fitness,129,2023-07-14,2023-12-10
130,Syrup - Kahlua Chocolate,"Toxic effect of contact w oth venom animals, assault, init","€98,29",Arts & Entertainment,130,2024-04-07,2023-04-19
131,Cheese - Fontina,Sprain of tibiofibular ligament of unspecified ankle,"€199,95",Attractions,131,2023-10-08,2023-09-03
132,"Wine - Sherry Dry Sack, William","Unspecified Eustachian salpingitis, left ear","€951,41",vvvv,132,2023-12-08,2023-06-10
133,Ocean Spray - Kiwi Strawberry,Open bite of unspecified upper arm,"€605,52",Food & Drink,133,2023-02-08,2024-01-18
134,Pastry - Key Limepoppy Seed Tea,Other lymphoid leukemia,"€966,67",vvvv,134,2024-04-05,2023-10-23
135,"Quail - Whole, Boneless","War op w dest arcrft due to clsn w oth arcrft, civ, subs","€202,21",Beauty & Fitness,135,2024-05-14,2024-04-23
136,Jicama,Varicose veins of r low extrem w ulcer of heel and midfoot,"€732,14",Arts & Entertainment,136,2023-08-15,2023-01-02
137,Calvados - Boulard,"Sprain of unsp parts of right shoulder girdle, init encntr","€378,53",aaaa,137,2023-06-03,2024-04-27
138,Pepper - Chili Powder,"Other water transport accident, sequela","€684,35",Food & Drink,138,2023-09-06,2023-10-05
139,Energy Drink Red Bull,"Strain of unsp musc/fasc/tend at wrs/hnd lv, left hand, subs","€743,89",Attractions,139,2024-06-09,2023-04-30
140,Scallops - 10/20,Open wound of back wall of thorax w/o penet thoracic cavity,"€34,91",Beauty & Fitness,140,2024-04-26,2024-04-09
141,Puree - Mango,"Burn of unspecified degree of right ankle, initial encounter","€296,47",Beauty & Fitness,141,2024-03-29,2024-05-10
142,Red Pepper Paste,"Displaced apophyseal fracture of unsp femur, init","€882,87",aaaa,142,2023-01-13,2023-10-23
143,Croissants Thaw And Serve,Insect bite (nonvenomous) of left hand,,Arts & Entertainment,143,2024-06-11,2024-04-11
144,"Wine - Red, Colio Cabernet","Assault by steam, hot vapors and hot objects","€625,00",vvvv,144,2023-09-20,2023-11-07
145,"Tart Shells - Savory, 4","Other secondary chronic gout, right wrist, without tophus",,aaaa,145,2023-02-10,2023-05-13
146,"Nut - Almond, Blanched, Ground",Antidotes and chelating agents,"€304,95",Food & Drink,146,2023-03-12,2024-02-23
147,Laundry - Bag Cloth,"Toxic effect of chlorine gas, undetermined, init encntr","€128,23",Gifts & Special Events,147,2023-09-26,2023-06-10
148,Table Cloth 91x91 Colour,"Oth intartic fx low end l rad, subs for clos fx w delay heal","€414,30",aaaa,148,2023-02-02,2023-02-26
149,Garbage Bag - Clear,"Unsp fx shaft of r femr, subs for opn fx type I/2 w nonunion","€745,28",Beauty & Fitness,149,2024-01-13,2024-05-27
150,"Tortillas - Flour, 10",Other specified acquired deformities of left upper arm,"€636,62",Food & Drink,150,2023-08-17,2023-04-26
151,Creme De Cacao White,"Minor laceration of thoracic aorta, subsequent encounter","€15,46",Beauty & Fitness,151,2023-07-09,2023-01-06
152,Radish,Wedge compression fracture of unspecified lumbar vertebra,"€131,42",aaaa,152,2024-04-16,2023-03-19
153,Nestea - Iced Tea,Microstomia,"€576,68",Food & Drink,153,2023-05-27,2024-06-07
154,Calaloo,Theraputc and rehab physical medicine devices assoc w incdt,"€543,57",Gifts & Special Events,154,2024-06-09,2023-12-23
155,Wine - Rosso Toscano Igt,"Burn of unsp degree of unsp scapular region, subs encntr","€117,29",aaaa,155,2023-04-30,2023-02-26
156,Dip - Tapenade,"Poisoning by antirheumatics, NEC, assault","€416,14",Gifts & Special Events,156,2024-05-13,2023-05-12
157,"Roe - Lump Fish, Red",Displaced fracture of base of unspecified metacarpal bone,"€535,64",vvvv,157,2023-12-22,2023-11-15
158,Lid Coffeecup 12oz D9542b,"Maternal care for oth fetal problems, second trimester, oth",,Food & Drink,158,2024-01-28,2023-01-12
159,Beans - Fava Fresh,"Major laceration of unspecified carotid artery, init encntr","€533,95",Gifts & Special Events,159,2023-02-02,2023-06-16
160,Pastry - Lemon Danish - Mini,Strain of flexor musc/fasc/tend of unsp fngr at forarm lv,"€830,15",Gifts & Special Events,160,2023-02-05,2023-07-10
161,"Sauce - Bernaise, Mix",Other acute pancreatitis without necrosis or infection,"€278,09",aaaa,161,2024-04-18,2024-01-18
162,"Yogurt - Cherry, 175 Gr","Nondisp oth fx tuberosity of r calcaneus, 7thK","€714,20",Arts & Entertainment,162,2024-06-22,2023-12-23
163,Island Oasis - Sweet And Sour Mix,"Drown d/t thrown ovrbrd by motion of unsp wtrcrft, subs","€83,40",aaaa,163,2024-01-13,2023-05-03
164,Wine - Shiraz Wolf Blass Premium,"Superficial foreign body of unsp part of head, sequela","€793,64",Food & Drink,164,2023-06-21,2023-12-13
165,Steampan - Lid For Half Size,Military operations involving unarmed hand to hand combat,"€216,26",Beauty & Fitness,165,2023-12-24,2023-05-26
166,Loquat,Complete traumatic trnsphal amputation of l little finger,"€235,13",Beauty & Fitness,166,2024-04-19,2023-05-03
167,Soup - Cream Of Potato / Leek,Carcinoma in situ of other specified sites,"€962,36",Food & Drink,167,2024-01-19,2024-06-17
168,Coffee - Hazelnut Cream,"Laceration of posterior tibial artery, left leg, sequela","€160,71",Arts & Entertainment,168,2024-02-16,2024-02-16
169,Avocado,"Poisoning by unsp narcotics, undetermined, subs encntr","€770,97",Food & Drink,169,2023-04-13,2023-08-06
170,Rum - Mount Gay Eclipes,"Prsnl hx of malig neoplm of unsp site lip,oral cav,& pharynx","€21,62",Arts & Entertainment,170,2024-04-21,2023-06-12
171,"Lamb - Leg, Diced","Unsp inj unsp musc/fasc/tend at forarm lv, left arm, subs","€899,01",aaaa,171,2023-04-22,2023-07-28
172,Tomatoes,Chronic inflammatory demyelinating polyneuritis,"€773,32",Arts & Entertainment,172,2024-07-01,2023-04-05
173,"Wine - Magnotta, Merlot Sr Vqa","Unstable burst fracture of T9-T10 vertebra, sequela","€741,92",Arts & Entertainment,173,2023-01-20,2023-03-27
174,Lettuce - Iceberg,"Oth fx right femur, subs for opn fx type I/2 w nonunion","€262,31",Attractions,174,2023-10-02,2023-06-05
175,Brandy Apricot,Postproc seroma of a ms structure fol a ms sys procedure,"€4,63",aaaa,175,2023-02-12,2023-10-12
176,Cheese - Mix,"Intcran inj w LOC >24 hr w/o ret consc w surv, init","€46,17",aaaa,176,2024-03-10,2024-05-10
177,Cherries - Frozen,Drowning and submersion due to oth accident to fishing boat,"€369,28",vvvv,177,2023-02-10,2023-11-13
178,Sugar - Invert,"Serous conjunctivitis, except viral, unspecified eye","€396,01",aaaa,178,2024-04-14,2023-03-29
179,Table Cloth 62x114 White,"Toxic effect of detergents, intentional self-harm, subs","€443,96",Food & Drink,179,2023-02-28,2023-11-15
180,Waffle Stix,Motorcycle passenger injured in collision w pedl cyc in traf,"€680,69",Beauty & Fitness,180,2023-08-29,2023-07-10
181,Muffin Chocolate Individual Wrap,"Fall into oth water striking bottom causing oth injury, subs","€915,32",Attractions,181,2023-12-04,2023-04-12
182,Calypso - Pineapple Passion,Phlebitis and thrombophlebitis of deep vessels of low extrm,,Gifts & Special Events,182,2023-05-12,2023-12-26
183,"Olives - Green, Pitted",Glaucoma secondary to other eye disorders,"€40,50",aaaa,183,2024-04-04,2023-10-13
184,Ham - Black Forest,Unspecified disp fx of surgical neck of right humerus,"€453,34",Beauty & Fitness,184,2024-06-23,2023-06-06
185,Sauce Tomato Pouch,"Unsp fx fourth MC bone, left hand, subs for fx w nonunion","€680,42",aaaa,185,2024-01-22,2024-04-17
186,Wine - Shiraz South Eastern,"Burn of esophagus, sequela","€876,66",Attractions,186,2024-05-18,2024-02-09
187,Bagelers,"Cont preg aft uterin dth of one fts or more, third tri, fts1","€837,92",Food & Drink,187,2024-02-23,2023-09-10
188,Flavouring - Orange,Hallux rigidus,"€731,79",aaaa,188,2024-03-09,2024-01-27
189,Beans - Soya Bean,"Blister (nonthermal), right foot, initial encounter","€603,00",Food & Drink,189,2024-04-15,2024-05-04
190,Coffee - Egg Nog Capuccino,"Drug-induced chronic gout, left wrist, with tophus (tophi)","€847,73",aaaa,190,2024-03-29,2023-06-08
191,Cabbage - Savoy,Other iron deficiency anemias,"€16,51",Arts & Entertainment,191,2023-06-09,2024-05-07
192,Bacardi Breezer - Strawberry,"Fall through floor, sequela","€924,25",Gifts & Special Events,192,2023-10-18,2023-03-22
193,Mussels - Cultivated,"Oth fx lower end l ulna, subs for opn fx type I/2 w malunion","€788,57",aaaa,193,2023-01-31,2023-08-17
194,Transfer Sheets,"Other superficial bite of right little finger, subs encntr","€808,00",Gifts & Special Events,194,2023-10-12,2024-06-26
195,Sage Derby,"Fall from dock, initial encounter","€416,24",aaaa,195,2023-10-25,2024-02-22
196,Gelatine Powder,"Age-rel osteopor w current path fx, unsp forearm, sequela","€940,48",Food & Drink,196,2024-04-26,2023-10-20
197,Mince Meat - Filling,"Driver of hv veh inj in clsn w rail trn/veh nontraf, subs","€396,41",Food & Drink,197,2023-02-15,2023-11-23
198,Beef - Top Sirloin - Aaa,"Legal intervnt w firearm disch, bystand injured, init","€558,86",Arts & Entertainment,198,2023-11-10,2023-12-20
199,Muffin Carrot - Individual,"Poisoning by appetite depressants, assault, init encntr","€814,66",aaaa,199,2024-01-06,2024-01-23
200,Wine - Bouchard La Vignee Pinot,"Maternal care for excess fetal growth, third trimester, oth","€899,84",Arts & Entertainment,200,2023-12-10,2023-04-14
201,Cornflakes,"Unspecified noninfective disorders of pinna, unspecified ear",,Beauty & Fitness,201,2024-06-25,2023-05-02
202,Wine - Cave Springs Dry Riesling,Other psoriasis,"€824,57",Attractions,202,2023-07-15,2023-10-06
203,Wine - Prosecco Valdobiaddene,"Abrasion of left eyelid and periocular area, sequela","€930,93",Arts & Entertainment,203,2023-03-25,2023-08-20
204,Creme De Menthe Green,"Crushing inj unsp external genital organs, female, init","€188,68",Food & Drink,204,2024-01-24,2023-08-25
205,"Doilies - 7, Paper",Laceration w/o fb of l little finger w damage to nail,"€616,72",Gifts & Special Events,205,2023-12-11,2023-04-18
206,Muffin Mix - Raisin Bran,"Disp fx of unsp radial styloid pro, 7thP","€934,24",Arts & Entertainment,206,2024-05-17,2024-05-06
207,"Soup - Campbells, Minestrone","Nondisp commnt fx shaft of rad, unsp arm, 7thC","€71,39",vvvv,207,2024-03-11,2023-05-15
208,Daves Island Stinger,"Wedge comprsn fx third thor vertebra, subs for fx w nonunion","€356,46",vvvv,208,2023-10-13,2024-02-25
209,Soupfoamcont12oz 112con,Varicose veins of left lower extremity w ulcer of unsp site,"€274,01",vvvv,209,2024-02-17,2023-11-19
210,Sole - Fillet,Malignant neoplasm of parietal lobe,"€375,17",Gifts & Special Events,210,2023-03-04,2023-01-02
211,"Pork - Butt, Boneless","Other acute nonsuppurative otitis media recurrent, unsp ear","€197,01",Beauty & Fitness,211,2023-11-22,2023-08-11
212,"Flour - Buckwheat, Dark",Torus fracture of lower end of unspecified humerus,"€82,28",Gifts & Special Events,212,2023-04-08,2023-10-07
